application,split_type,seed,subset,cutoff,n_rows,positive_rate,n_duplicate_groups,n_conflicting_label_groups,n_rows_in_conflicting_groups,majority_label_accuracy_ceiling
co2_capture,scaffold,42,train,2.546270269,5510,0.2500907441016334,605,115,537,0.9702359346642468
co2_capture,scaffold,42,valid,2.546270269,1180,0.30677966101694915,135,16,69,0.9822033898305085
co2_capture,scaffold,42,test,2.546270269,1180,0.26864406779661015,137,26,93,0.9728813559322034
ch4_storage,scaffold,42,train,8.241883439925001,5510,0.2500907441016334,605,90,497,0.9738656987295826
ch4_storage,scaffold,42,valid,8.241883439925001,1180,0.1694915254237288,135,16,54,0.9864406779661017
ch4_storage,scaffold,42,test,8.241883439925001,1180,0.2754237288135593,137,18,71,0.9779661016949153
co2_capture,scaffold,7,train,2.567051158,5510,0.2500907441016334,602,107,517,0.9716878402903811
co2_capture,scaffold,7,valid,2.567051158,1180,0.2957627118644068,131,22,89,0.976271186440678
co2_capture,scaffold,7,test,2.567051158,1180,0.25677966101694916,144,29,100,0.9711864406779661
ch4_storage,scaffold,7,train,8.151024926725,5510,0.2500907441016334,602,95,541,0.9716878402903811
ch4_storage,scaffold,7,valid,8.151024926725,1180,0.21864406779661016,131,20,73,0.9805084745762712
ch4_storage,scaffold,7,test,8.151024926725,1180,0.2745762711864407,144,15,54,0.9813559322033898
co2_capture,scaffold,123,train,2.5744568125000002,5510,0.2500907441016334,607,105,499,0.9718693284936479
co2_capture,scaffold,123,valid,2.5744568125000002,1180,0.27372881355932205,126,23,86,0.976271186440678
co2_capture,scaffold,123,test,2.5744568125000002,1180,0.27288135593220336,144,31,123,0.9694915254237289
ch4_storage,scaffold,123,train,8.2988530778,5510,0.2500907441016334,607,87,490,0.9747731397459165
ch4_storage,scaffold,123,valid,8.2988530778,1180,0.18135593220338983,126,16,52,0.9864406779661017
ch4_storage,scaffold,123,test,8.2988530778,1180,0.2364406779661017,144,17,68,0.9805084745762712
co2_capture,random_group_aware,42,train,2.68603160475,5510,0.2500907441016334,614,110,519,0.9722323049001815
co2_capture,random_group_aware,42,valid,2.68603160475,1180,0.2245762711864407,131,26,80,0.9737288135593221
co2_capture,random_group_aware,42,test,2.68603160475,1180,0.19491525423728814,132,20,70,0.976271186440678
ch4_storage,random_group_aware,42,train,8.1806480536,5510,0.2500907441016334,614,94,469,0.9731397459165154
ch4_storage,random_group_aware,42,valid,8.1806480536,1180,0.25,131,19,107,0.9720338983050848
ch4_storage,random_group_aware,42,test,8.1806480536,1180,0.22627118644067798,132,14,61,0.985593220338983
co2_capture,metal_element_holdout,42,train,2.86829436075,4360,0.25,488,97,405,0.9688073394495413
co2_capture,metal_element_holdout,42,valid,2.86829436075,1204,0.23006644518272426,130,33,150,0.9601328903654485
co2_capture,metal_element_holdout,42,test,2.86829436075,2306,0.12142237640936687,259,26,82,0.9861231569817867
ch4_storage,metal_element_holdout,42,train,8.0755567352,4360,0.25,488,84,386,0.9715596330275229
ch4_storage,metal_element_holdout,42,valid,8.0755567352,1204,0.22009966777408638,130,24,127,0.973421926910299
ch4_storage,metal_element_holdout,42,test,8.0755567352,2306,0.28274067649609713,259,30,186,0.9761491760624458
