application,seed,rank,feature
co2_capture,42,1,metal_electronegativity_avg
co2_capture,42,2,metal_Cu
co2_capture,42,3,metal_covalent_radius_avg
co2_capture,42,4,MolWt
co2_capture,42,5,fp_105
co2_capture,42,6,num_metal_atoms
co2_capture,42,7,TPSA
co2_capture,42,8,MolLogP
co2_capture,42,9,metal_Mn
co2_capture,42,10,fp_107
co2_capture,42,11,metal_atomic_number_avg
co2_capture,42,12,n_linker_fragments
co2_capture,42,13,NumCarboxylGroups
co2_capture,42,14,metal_Ag
co2_capture,42,15,NumAromaticRings
ch4_storage,42,1,metal_covalent_radius_avg
ch4_storage,42,2,num_metal_atoms
ch4_storage,42,3,NumCarboxylGroups
ch4_storage,42,4,HeavyAtomCount
ch4_storage,42,5,NumAromaticRings
ch4_storage,42,6,MolWt
ch4_storage,42,7,FractionCSP3
ch4_storage,42,8,n_linker_fragments
ch4_storage,42,9,metal_atomic_weight_avg
ch4_storage,42,10,RingCount
ch4_storage,42,11,fp_199
ch4_storage,42,12,NumPyridylN
ch4_storage,42,13,NumHeteroatoms
ch4_storage,42,14,metal_electronegativity_avg
ch4_storage,42,15,MolLogP
co2_capture,7,1,metal_electronegativity_avg
co2_capture,7,2,metal_Cu
co2_capture,7,3,MolWt
co2_capture,7,4,metal_covalent_radius_avg
co2_capture,7,5,num_metal_atoms
co2_capture,7,6,metal_Mn
co2_capture,7,7,n_linker_fragments
co2_capture,7,8,metal_atomic_number_avg
co2_capture,7,9,MolLogP
co2_capture,7,10,metal_Ag
co2_capture,7,11,NumCarboxylGroups
co2_capture,7,12,fp_105
co2_capture,7,13,FractionCSP3
co2_capture,7,14,TPSA
co2_capture,7,15,fp_107
ch4_storage,7,1,metal_covalent_radius_avg
ch4_storage,7,2,num_metal_atoms
ch4_storage,7,3,NumAromaticRings
ch4_storage,7,4,MolLogP
ch4_storage,7,5,RingCount
ch4_storage,7,6,FractionCSP3
ch4_storage,7,7,MolWt
ch4_storage,7,8,metal_atomic_weight_avg
ch4_storage,7,9,NumHeteroatoms
ch4_storage,7,10,n_linker_fragments
ch4_storage,7,11,HeavyAtomCount
ch4_storage,7,12,NumCarboxylGroups
ch4_storage,7,13,NumPyridylN
ch4_storage,7,14,fp_193
ch4_storage,7,15,fp_199
co2_capture,123,1,metal_electronegativity_avg
co2_capture,123,2,metal_Cu
co2_capture,123,3,metal_covalent_radius_avg
co2_capture,123,4,MolWt
co2_capture,123,5,fp_105
co2_capture,123,6,num_metal_atoms
co2_capture,123,7,metal_Ag
co2_capture,123,8,MolLogP
co2_capture,123,9,n_linker_fragments
co2_capture,123,10,metal_atomic_number_avg
co2_capture,123,11,metal_Mn
co2_capture,123,12,fp_199
co2_capture,123,13,fp_107
co2_capture,123,14,NumAromaticRings
co2_capture,123,15,TPSA
ch4_storage,123,1,metal_covalent_radius_avg
ch4_storage,123,2,num_metal_atoms
ch4_storage,123,3,RingCount
ch4_storage,123,4,NumCarboxylGroups
ch4_storage,123,5,n_linker_fragments
ch4_storage,123,6,HeavyAtomCount
ch4_storage,123,7,metal_atomic_weight_avg
ch4_storage,123,8,fp_161
ch4_storage,123,9,FractionCSP3
ch4_storage,123,10,fp_199
ch4_storage,123,11,MolLogP
ch4_storage,123,12,fp_128
ch4_storage,123,13,NumAromaticRings
ch4_storage,123,14,NumHeteroatoms
ch4_storage,123,15,MolWt
