split_type,seed,n_train,n_valid,n_test,train_fraction,valid_fraction,test_fraction,precursor_overlap_train_valid,precursor_overlap_train_test,linker_overlap_train_test,scaffold_overlap_train_test,n_test_partial_unseen,n_test_fully_unseen,holdout_elements
random_group_aware,42,5510,1180,1180,0.7001270648030495,0.14993646759847523,0.14993646759847523,0,0,268,,,,
scaffold,42,5510,1180,1180,0.7001270648030495,0.14993646759847523,0.14993646759847523,0,0,0,0.0,,,
metal_element_holdout,42,4360,1204,2306,0.554002541296061,0.15298602287166455,0.29301143583227446,0,0,331,,413.0,1893.0,Ag;Ba;Bi;Cu;Dy;K;Nd;Pd;Sb;Sm;Sr;U
random_group_aware,7,5510,1180,1180,0.7001270648030495,0.14993646759847523,0.14993646759847523,0,0,288,,,,
scaffold,7,5510,1180,1180,0.7001270648030495,0.14993646759847523,0.14993646759847523,0,0,0,0.0,,,
metal_element_holdout,7,4141,1069,2660,0.5261753494282084,0.1358322744599746,0.33799237611181704,0,0,369,,424.0,2236.0,Cr;Cu;Dy;Eu;Ho;Mg;Mn;Nb;Nd;Pb;Rb;Ru
random_group_aware,123,5510,1180,1180,0.7001270648030495,0.14993646759847523,0.14993646759847523,0,0,277,,,,
scaffold,123,5510,1180,1180,0.7001270648030495,0.14993646759847523,0.14993646759847523,0,0,0,0.0,,,
metal_element_holdout,123,5293,1249,1328,0.672554002541296,0.15870393900889454,0.1687420584498094,0,0,269,,333.0,995.0,Dy;Gd;In;La;Li;Mn;Mo;Pd;Re;Th;U;Y
